Thời gian,positive,neutral,negative,số_bài_báo
2025-01-01 00:00:00,0.6225,0.3529,0.0246,1
2025-01-02 00:00:00,0.8809,0.1181,0.001,1
2025-01-03 00:00:00,0.8418,0.1182,0.04,1
2025-01-17 00:00:00,0.8505,0.1492,0.0004,1
2025-01-20 00:00:00,0.5573,0.2544,0.1883,1
2025-01-21 00:00:00,0.6157,0.3639,0.0203,1
2025-01-23 00:00:00,0.8938,0.1055,0.0007,2
2025-01-24 00:00:00,0.8822,0.1171,0.0007,1
2025-01-29 00:00:00,0.7973,0.0582,0.1445,1
2025-01-30 00:00:00,0.7142,0.1948,0.091,1
2025-02-03 00:00:00,0.6671,0.2717,0.0612,1
2025-02-04 00:00:00,0.6903,0.279,0.0307,4
2025-02-05 00:00:00,0.9884,0.0113,0.0003,2
2025-02-06 00:00:00,0.9536,0.046,0.0004,1
2025-02-08 00:00:00,0.8391,0.1593,0.0016,1
2025-02-09 00:00:00,0.6361,0.2229,0.141,1
2025-02-10 00:00:00,0.9571,0.0114,0.0315,1
2025-02-11 00:00:00,0.6293,0.3678,0.0029,1
2025-02-12 00:00:00,0.9912,0.0086,0.0002,1
2025-02-13 00:00:00,0.8455,0.1519,0.0025,1
2025-02-15 00:00:00,0.6998,0.2883,0.0119,1
2025-02-16 00:00:00,0.4626,0.2743,0.2631,1
2025-02-17 00:00:00,0.9234,0.0761,0.0005,2
2025-02-19 00:00:00,0.5205,0.4781,0.0014,1
2025-02-25 00:00:00,0.9887,0.011,0.0003,2
2025-02-26 00:00:00,0.9955,0.0042,0.0003,1
2025-02-27 00:00:00,0.9561,0.0424,0.0015,1
2025-03-01 00:00:00,0.9766,0.0227,0.0007,1
2025-03-11 00:00:00,0.9925,0.0072,0.0003,1
2025-03-13 00:00:00,0.6777,0.1412,0.181,1
2025-03-14 00:00:00,0.7288,0.2108,0.0605,1
2025-03-15 00:00:00,0.6768,0.2855,0.0376,1
2025-03-18 00:00:00,0.5546,0.4113,0.0341,1
2025-03-19 00:00:00,0.6545,0.1169,0.2286,1
2025-03-20 00:00:00,0.633,0.3248,0.0421,4
2025-03-21 00:00:00,0.9955,0.0039,0.0006,1
2025-03-24 00:00:00,0.5167,0.3383,0.145,1
2025-03-25 00:00:00,0.3335,0.6298,0.0368,1
2025-03-27 00:00:00,0.6423,0.1311,0.2266,2
2025-03-28 00:00:00,0.6581,0.2978,0.0441,1
2025-03-31 00:00:00,0.2818,0.4855,0.2327,1
2025-04-08 00:00:00,0.6791,0.2761,0.0448,1
2025-04-09 00:00:00,0.156,0.8277,0.0163,1
2025-04-10 00:00:00,0.9786,0.0211,0.0003,1
2025-04-11 00:00:00,0.9809,0.0185,0.0005,1
2025-04-14 00:00:00,0.2667,0.7319,0.0014,1
2025-04-15 00:00:00,0.7821,0.2087,0.0092,5
2025-04-16 00:00:00,0.3364,0.6245,0.0391,2
2025-04-22 00:00:00,0.9881,0.0114,0.0005,3
2025-04-28 00:00:00,0.9191,0.0749,0.0059,2
2025-05-06 00:00:00,0.5142,0.4361,0.0497,1
2025-05-07 00:00:00,0.6475,0.3503,0.0022,1
2025-05-08 00:00:00,0.9864,0.0133,0.0003,1
2025-05-27 00:00:00,0.9308,0.0687,0.0005,1
2025-05-29 00:00:00,0.795,0.1735,0.0316,2
2025-05-30 00:00:00,0.0026,0.9971,0.0003,1
2025-06-06 00:00:00,0.9472,0.0498,0.0029,1
2025-06-11 00:00:00,0.999,0.0008,0.0002,1
2025-06-13 00:00:00,0.9703,0.0293,0.0004,1
2025-06-17 00:00:00,0.977,0.0214,0.0016,1
2025-06-18 00:00:00,0.8051,0.1934,0.0015,1
2025-06-19 00:00:00,0.9485,0.0511,0.0004,1
2025-06-21 00:00:00,0.9634,0.0359,0.0007,1
2025-06-30 00:00:00,0.868,0.0653,0.0667,1
2025-07-02 00:00:00,0.8405,0.1588,0.0007,1
2025-07-10 00:00:00,0.253,0.7453,0.0017,1
2025-07-11 00:00:00,0.5064,0.4921,0.0015,2
2025-07-15 00:00:00,0.885,0.1145,0.0006,1
2025-07-17 00:00:00,0.9772,0.022,0.0008,1
2025-07-20 00:00:00,0.5172,0.4716,0.0112,1
2025-08-02 00:00:00,0.6233,0.3757,0.001,1
2025-08-05 00:00:00,0.184,0.3028,0.5132,1
2025-08-07 00:00:00,0.9874,0.0123,0.0003,1
2025-08-08 00:00:00,0.1354,0.785,0.0797,1
2025-08-11 00:00:00,0.0108,0.9888,0.0004,1
2025-08-13 00:00:00,0.3092,0.3555,0.3353,2
2025-08-18 00:00:00,0.5978,0.3865,0.0157,1
2025-08-21 00:00:00,0.0364,0.6846,0.279,1
2025-08-22 00:00:00,0.9844,0.0122,0.0034,1
2025-08-26 00:00:00,0.9361,0.0602,0.0037,1
2025-08-27 00:00:00,0.9033,0.0698,0.0268,1
2025-09-16 00:00:00,0.9619,0.0373,0.0008,4
2025-09-18 00:00:00,0.7378,0.2604,0.0018,1
2025-09-23 00:00:00,0.3785,0.5761,0.0454,1
2025-09-25 00:00:00,0.9931,0.0063,0.0006,1
2025-10-07 00:00:00,0.1128,0.8775,0.0096,1
