Thời gian,positive,neutral,negative,số_bài_báo
2024-01-11,0.9417,0.0576,0.0006,1
2024-01-15,0.0094,0.0102,0.9805,1
2024-01-16,0.0578,0.442,0.5002,1
2024-01-19,0.7775,0.016,0.2065,1
2024-01-25,0.5519,0.4461,0.002,1
2024-01-29,0.4751,0.2087,0.3162,3
2024-01-30,0.2634,0.4257,0.3109,3
2024-01-31,0.1273,0.5208,0.3519,1
2024-02-02,0.0273,0.1474,0.8252,1
2024-02-11,0.5304,0.2744,0.1952,1
2024-02-15,0.8452,0.1523,0.0024,1
2024-02-22,0.9026,0.0915,0.0059,1
2024-02-27,0.9331,0.0483,0.0186,1
2024-03-01,0.0086,0.0064,0.9851,1
2024-03-02,0.6405,0.061,0.2985,1
2024-03-07,0.1895,0.7969,0.0137,2
2024-03-11,0.97,0.0296,0.0004,1
2024-03-14,0.3822,0.6173,0.0004,1
2024-03-21,0.6536,0.3438,0.0026,2
2024-03-26,0.6868,0.3065,0.0067,1
2024-03-27,0.1171,0.392,0.4909,2
2024-04-09,0.9729,0.0083,0.0188,1
2024-04-10,0.0094,0.0102,0.9805,1
2024-04-11,0.7744,0.2247,0.001,1
2024-04-12,0.0892,0.0606,0.8502,1
2024-04-17,0.7205,0.271,0.0085,3
2024-04-19,0.5104,0.4849,0.0048,3
2024-04-20,0.5097,0.3858,0.1045,1
2024-04-21,0.4105,0.3546,0.2349,1
2024-04-25,0.982,0.0174,0.0005,1
2024-04-26,0.0043,0.862,0.1336,1
2024-05-06,0.6234,0.3655,0.0111,1
2024-05-28,0.9887,0.0005,0.0108,1
2024-05-31,0.6364,0.3621,0.0015,1
2024-06-03,0.7221,0.2759,0.002,2
2024-06-05,0.7732,0.221,0.0057,2
2024-06-29,0.7941,0.2054,0.0004,1
2024-07-11,0.0208,0.9754,0.0038,1
2024-07-18,0.0094,0.0102,0.9805,1
2024-07-24,0.2815,0.1149,0.6036,1
2024-07-31,0.3709,0.5807,0.0483,4
2024-08-01,0.9331,0.0658,0.0011,1
2024-08-03,0.931,0.0686,0.0004,1
2024-08-07,0.0094,0.0102,0.9805,1
2024-08-08,0.1434,0.6682,0.1884,1
2024-08-14,0.9201,0.079,0.0009,1
2024-08-16,0.0059,0.6432,0.351,1
2024-08-21,0.3824,0.6007,0.0169,2
2024-08-22,0.986,0.0136,0.0004,1
2024-08-26,0.0078,0.0204,0.9718,1
2024-08-30,0.0072,0.007,0.9858,1
2024-09-12,0.8834,0.116,0.0006,1
2024-09-30,0.0775,0.1537,0.7688,2
2024-10-02,0.0013,0.9982,0.0005,1
2024-10-13,0.8888,0.1102,0.001,1
2024-10-27,0.5825,0.4167,0.0008,1
2024-10-30,0.0051,0.0222,0.9727,2
2024-11-05,0.9471,0.0522,0.0007,1
2024-11-14,0.7412,0.0612,0.1976,1
2024-12-09,0.0072,0.007,0.9858,1
2024-12-16,0.5859,0.3908,0.0233,1
2025-01-02,0.5016,0.0053,0.4931,2
2025-01-21,0.7692,0.2301,0.0007,1
2025-01-22,0.6205,0.3406,0.0389,1
2025-01-23,0.9976,0.0021,0.0003,1
2025-01-24,0.3673,0.3049,0.3278,5
2025-02-06,0.0072,0.007,0.9858,1
2025-02-15,0.6998,0.2883,0.0119,1
2025-02-17,0.5373,0.4615,0.0013,1
2025-02-25,0.4149,0.5767,0.0085,1
2025-02-26,0.6583,0.34,0.0017,2
2025-02-28,0.5743,0.4248,0.0009,1
2025-03-04,0.6647,0.309,0.0263,1
2025-03-05,0.0072,0.007,0.9858,1
2025-03-07,0.374,0.5234,0.1026,2
2025-03-12,0.1728,0.8217,0.0055,1
2025-04-02,0.4823,0.5137,0.004,1
2025-04-03,0.4621,0.5321,0.0058,1
2025-04-25,0.913,0.0856,0.0014,2
2025-04-26,0.5319,0.459,0.0091,3
2025-04-29,0.0043,0.8638,0.1318,1
2025-05-16,0.5055,0.4941,0.0004,1
2025-05-19,0.0072,0.007,0.9858,1
2025-05-21,0.9777,0.0213,0.001,1
2025-05-27,0.0094,0.0102,0.9805,1
2025-05-28,0.8359,0.1589,0.0052,1
2025-06-06,0.0359,0.96,0.0041,1
2025-06-07,0.5562,0.4239,0.0198,2
2025-06-10,0.3864,0.4966,0.117,1
2025-06-11,0.6849,0.3033,0.0118,1
2025-06-16,0.0094,0.0102,0.9805,1
2025-06-17,0.7645,0.2086,0.0269,1
2025-06-18,0.0073,0.557,0.4357,1
2025-06-21,0.3325,0.6666,0.0009,1
2025-06-30,0.0273,0.9718,0.001,1
2025-07-02,0.0191,0.9509,0.03,2
2025-07-03,0.0434,0.9537,0.0029,1
2025-07-08,0.0429,0.8049,0.1522,1
2025-07-16,0.0419,0.0011,0.957,1
2025-07-18,0.0045,0.9949,0.0006,1
2025-07-20,0.5172,0.4716,0.0112,1
2025-07-28,0.0125,0.067,0.9206,2
2025-07-29,0.5201,0.3485,0.1315,5
2025-07-30,0.0083,0.5182,0.4734,3
2025-07-31,0.0016,0.0244,0.974,1
2025-08-05,0.0635,0.0043,0.9322,1
2025-08-06,0.0415,0.9564,0.0021,1
2025-08-13,0.0034,0.9802,0.0164,1
2025-08-15,0.0028,0.9969,0.0003,1
2025-08-19,0.2302,0.0701,0.6997,2
2025-08-20,0.0038,0.996,0.0002,1
2025-08-28,0.0537,0.0186,0.9277,1
2025-10-29,0.7495,0.1638,0.0867,2
2025-10-30,0.4609,0.1465,0.3926,2
